"CustomerID","Age","SubscriptionTier","ContractDuration_Months","DataUsage_GB","UsageFrequency","SupportTickets","SatisfactionScore","Churn"
"CZA0141",37,"Premium",12,98.9,19.4,3,7,0
"CZA0142",27,"Basic",12,1.7,4.8,4,6,0
"CZA0143",33,"Basic",18,10.1,6.2,2,7,0
"CZA0144",38,"Standard",12,0.5,11.7,2,5,0
"CZA0145",33,"Standard",24,0.4,3.5,1,7,0
"CZA0146",51,"Basic",36,8.2,2.8,3,7,0
"CZA0147",32,"Basic",36,14.3,5.1,3,5,0
"CZA0148",33,"Premium",1,25.8,5,9,4,1
"CZA0149",46,"Basic",12,0.6,4.5,4,4,1
"CZA0150",25,"Standard",1,0.3,5.4,4,7,0
"CZA0151",38,"Basic",36,2.4,6.1,0,7,0
"CZA0152",19,"Basic",5,0.1,6.1,0,7,0
"CZA0153",52,"Standard",18,1.1,4.4,2,4,0
"CZA0154",35,"Standard",18,5.4,11,2,6,0
"CZA0155",32,"Standard",36,5.9,8.2,2,9,0
"CZA0156",23,"Basic",18,1.6,11.1,5,5,0
"CZA0157",38,"Standard",18,11.6,6.9,0,7,0
"CZA0158",28,"Standard",5,14.4,10.1,3,7,0
"CZA0159",32,"Standard",5,5,10.9,3,4,0
"CZA0160",53,"Premium",18,17.8,11.6,3,6,0
"CZA0161",36,"Basic",18,10.7,5.6,1,7,0
"CZA0162",25,"Premium",3,20.7,8.2,5,5,0
"CZA0163",40,"Standard",18,6,11.1,2,8,0
"CZA0164",34,"Basic",12,5.7,8.4,4,6,0
"CZA0165",45,"Standard",1,0.1,12.7,6,5,0
"CZA0166",55,"Basic",36,0.8,6.7,4,6,0
"CZA0167",26,"Standard",24,10.5,6.5,2,6,0
"CZA0168",43,"Basic",12,10.6,5.6,3,7,0
"CZA0169",39,"Basic",18,2.2,1,0,6,0
"CZA0170",49,"Standard",12,1.8,10,4,6,0
"CZA0171",35,"Standard",18,4.4,8.8,0,7,0
"CZA0172",48,"Standard",12,59.8,10,3,6,1
"CZA0173",18,"Standard",12,5.1,8.5,1,5,0
"CZA0174",58,"Basic",3,2,2,6,6,1
"CZA0175",48,"Standard",18,2.3,10.3,1,6,0
"CZA0176",36,"Standard",18,7.1,10.1,3,5,0
"CZA0177",21,"Standard",2,5.4,10,5,5,0
"CZA0178",46,"Standard",12,16.8,9.7,0,6,0
"CZA0179",44,"Basic",2,10,5.4,3,7,1
"CZA0180",38,"Standard",18,3.1,6.7,1,7,0
"CZA0181",40,"Standard",4,11.8,5.6,3,6,0
"CZA0182",31,"Premium",24,57.1,15.3,2,6,0
"CZA0183",42,"Basic",2,2.5,4.7,2,6,0
"CZA0184",42,"Basic",5,4.1,6.8,2,5,0
"CZA0185",35,"Standard",18,20.7,10.7,4,5,1
"CZA0186",22,"Basic",2,4.2,1.5,8,4,1
"CZA0187",46,"Standard",12,46.2,8.8,2,6,1
"CZA0188",45,"Standard",12,20.1,8.3,2,6,0
"CZA0189",28,"Basic",4,5,6.8,2,7,0
"CZA0190",19,"Premium",18,9.8,17.5,4,6,0
"CZA0191",40,"Basic",12,0.1,6.9,3,7,0
"CZA0192",34,"Standard",18,5.7,11.9,1,5,0
"CZA0193",41,"Premium",18,10.3,10.5,1,7,0
"CZA0194",22,"Premium",2,10.6,25.2,5,4,1
"CZA0195",26,"Basic",12,3.5,4.2,2,6,0
"CZA0196",51,"Standard",18,9.9,13.7,1,6,0
"CZA0197",43,"Standard",24,2.3,11.3,0,9,0
"CZA0198",45,"Standard",12,14,11.8,1,5,0
"CZA0199",60,"Premium",18,11.7,20.1,1,7,0
"CZA0200",40,"Basic",24,2.5,2.7,4,6,1
"CZA0201",18,"Standard",1,10.5,12.1,2,6,0
"CZA0202",42,"Basic",12,2,6.6,2,7,0
"CZA0203",52,"Standard",24,12.1,6.9,1,8,0
"CZA0204",63,"Standard",12,10.5,6.9,2,4,0
"CZA0205",21,"Standard",3,7.8,13.5,3,7,0
"CZA0206",24,"Basic",18,6.2,6.6,2,7,0
"CZA0207",30,"Basic",18,0.9,8.4,1,5,0
"CZA0208",25,"Standard",18,3.8,10.7,1,5,0
"CZA0209",30,"Basic",2,2.7,8.9,2,6,0
"CZA0210",36,"Standard",36,6.8,7.5,1,7,0
"CZA0211",24,"Basic",36,1.2,8.1,3,6,0
"CZA0212",62,"Standard",12,9.4,9.2,0,6,0
"CZA0213",39,"Basic",2,7.6,4.1,2,4,1
"CZA0214",37,"Basic",12,0.9,4.1,2,5,0
"CZA0215",44,"Standard",18,14.2,6.9,3,5,0
"CZA0216",38,"Standard",12,20.4,8.7,1,6,0
"CZA0217",36,"Premium",36,26.7,16.1,3,8,0
"CZA0218",56,"Standard",24,2.1,9.3,3,5,0
"CZA0219",35,"Basic",24,5.5,3.9,0,6,0
"CZA0220",23,"Basic",1,2.2,5.8,10,5,1
"CZA0221",43,"Standard",12,10.8,14.5,2,7,0
"CZA0222",34,"Basic",12,3.3,2.6,0,6,0
"CZA0223",32,"Basic",3,15,5.9,1,7,1
"CZA0224",25,"Standard",36,16.6,9.5,0,7,0
"CZA0225",43,"Basic",2,13,5.8,6,4,1
"CZA0226",36,"Standard",18,3.7,6.9,1,5,0
"CZA0227",44,"Premium",6,22.9,9.3,4,7,0
"CZA0228",35,"Standard",18,10,11.3,1,5,0
"CZA0229",30,"Basic",2,4.2,3.6,3,5,1
"CZA0230",53,"Basic",24,0.4,6.3,2,5,0
"CZA0231",35,"Standard",12,4.1,4.4,5,7,0
"CZA0232",49,"Basic",6,0.9,6.3,3,6,0
"CZA0233",24,"Basic",1,2.3,4.4,6,5,1
"CZA0234",32,"Basic",18,3,9.8,0,7,0
"CZA0235",35,"Standard",18,1.2,7.4,2,6,0
"CZA0236",33,"Premium",4,4.3,25.5,3,6,0
"CZA0237",54,"Basic",12,6.2,7.1,2,6,0
"CZA0238",38,"Basic",18,4.6,3.8,1,7,0
"CZA0239",41,"Premium",4,13.3,17.2,5,5,0
"CZA0240",27,"Premium",18,6.2,15.1,1,6,0
"CZA0241",29,"Standard",5,1.8,10.3,0,7,0
"CZA0242",50,"Standard",36,5.1,10.5,2,6,0
"CZA0243",53,"Premium",18,59,13.1,2,5,0
"CZA0244",53,"Standard",12,9.2,11.6,2,4,1
"CZA0245",21,"Premium",18,15.2,24.2,0,6,0
"CZA0246",63,"Standard",18,7.2,14.2,3,2,1
"CZA0247",50,"Standard",12,5.5,6.7,3,7,0
"CZA0248",38,"Standard",12,36.5,9.8,1,6,0
"CZA0249",46,"Standard",6,11.3,8.3,2,7,0
"CZA0250",26,"Basic",4,6.1,5.1,3,9,0
"CZA0251",25,"Standard",18,20.3,10.4,4,5,0
"CZA0252",39,"Standard",6,9.9,7.5,2,5,1
"CZA0253",24,"Standard",3,3.2,9.8,5,6,1
"CZA0254",40,"Basic",4,1.8,7.1,4,6,0
"CZA0255",54,"Basic",1,4.4,4.7,9,5,1
"CZA0256",26,"Basic",18,1.5,4.2,2,7,0
"CZA0257",29,"Standard",12,9.6,11.7,2,7,0
"CZA0258",39,"Basic",12,5.7,5.4,1,6,0
"CZA0259",26,"Standard",5,7.2,11.3,1,6,0
"CZA0260",33,"Basic",12,6.4,6.4,3,6,1
"CZA0261",48,"Standard",18,2.6,9.1,2,8,0
"CZA0262",50,"Premium",36,52.2,16.3,3,4,0
"CZA0263",43,"Basic",12,1.2,2.8,6,6,0
"CZA0264",18,"Basic",36,2.8,3,3,6,0
"CZA0265",37,"Basic",12,3,6.7,2,6,0
"CZA0266",51,"Basic",2,5.9,4.5,4,5,1
"CZA0267",48,"Premium",1,52,17.8,9,4,1
"CZA0268",36,"Standard",12,42.5,8.7,1,5,0
"CZA0269",18,"Standard",4,1.8,8.4,2,8,0
"CZA0270",39,"Basic",36,0.4,6.4,0,6,0
"CZA0271",45,"Standard",24,0.5,9.1,4,6,0
"CZA0272",39,"Standard",24,4.7,7.3,3,5,0
"CZA0273",40,"Basic",12,4.7,3.3,1,7,0
"CZA0274",43,"Standard",6,3.8,11.1,4,7,0
"CZA0275",33,"Basic",18,6.5,1.6,1,7,0
"CZA0276",54,"Basic",18,1.2,5.6,2,7,0
"CZA0277",44,"Basic",4,3.5,2.2,5,4,1
"CZA0278",23,"Basic",18,9.3,4.1,0,7,0
"CZA0279",55,"Basic",24,1.5,2.4,2,8,0
"CZA0280",52,"Basic",36,5.5,8.6,1,8,0
"CZA0281",48,"Standard",36,4.2,12,4,8,0
"CZA0282",18,"Basic",6,8.4,5.6,3,5,0
"CZA0283",31,"Premium",18,54.7,22.5,2,7,0
"CZA0284",46,"Basic",4,2.8,7.6,2,4,1
"CZA0285",39,"Basic",18,0.9,1.8,2,6,0
"CZA0286",42,"Premium",36,52.7,13.9,2,7,0
"CZA0287",68,"Basic",24,2,6.5,4,7,0
"CZA0288",28,"Premium",12,35.2,15.6,1,6,0
"CZA0289",18,"Standard",24,2.3,11.3,0,7,0
"CZA0290",41,"Basic",18,2.3,5.9,2,5,1
"CZA0291",30,"Standard",5,1.3,10.2,2,4,1
"CZA0292",43,"Standard",12,9.3,15.5,0,5,0
"CZA0293",28,"Standard",36,8.3,10,0,6,0
"CZA0294",65,"Standard",12,17.6,9.6,1,6,0
"CZA0295",37,"Standard",18,25.4,11.8,2,5,0
"CZA0296",32,"Basic",6,7.8,5.2,4,5,1
"CZA0297",36,"Premium",12,0.1,9.8,1,5,0
"CZA0298",48,"Standard",12,4,10,1,5,0
"CZA0299",39,"Standard",18,8.1,6.4,1,6,0
"CZA0300",18,"Basic",12,4.2,5.4,4,6,0
"CZA0301",38,"Standard",6,2.2,8.3,0,6,0
"CZA0302",47,"Basic",12,6.7,1,2,6,0
"CZA0303",38,"Premium",18,6.3,15.5,2,6,0
"CZA0304",47,"Basic",24,2.2,4.7,3,6,0
"CZA0305",36,"Basic",18,0.2,7.6,3,5,0
"CZA0306",37,"Basic",12,5,6.1,2,7,0
"CZA0307",44,"Basic",18,2.2,6.4,2,8,0
"CZA0308",50,"Premium",12,3,20.2,3,5,1
"CZA0309",23,"Premium",6,21,5.4,3,7,1
"CZA0310",38,"Premium",18,37.6,19.3,3,7,0
"CZA0311",37,"Basic",18,1.1,6.6,0,7,0
"CZA0312",29,"Premium",18,2.1,10.9,1,7,0
"CZA0313",26,"Premium",2,11.3,14.5,2,6,0
"CZA0314",30,"Premium",12,5.4,11.4,5,5,0
"CZA0315",45,"Basic",4,0.2,5.7,3,6,0
"CZA0316",33,"Standard",3,0.9,9.9,4,6,1
"CZA0317",29,"Standard",12,17.4,13.1,5,4,0
"CZA0318",40,"Standard",4,4,9.5,1,7,0
"CZA0319",23,"Standard",18,1.8,12,1,5,0
"CZA0320",51,"Premium",3,18,15.5,6,5,0
"CZA0321",32,"Basic",24,1,5.5,5,7,0
"CZA0322",40,"Basic",12,0.4,2.4,1,7,0
"CZA0323",39,"Standard",36,8.1,6.1,1,8,0
"CZA0324",38,"Basic",4,5.9,4,0,6,0
"CZA0325",60,"Basic",24,0.9,5.7,1,7,0
"CZA0326",28,"Premium",24,6.6,23.5,2,8,0
"CZA0327",52,"Premium",6,74.5,14,3,6,0
"CZA0328",38,"Basic",2,3,3.9,2,6,0
"CZA0329",28,"Basic",12,1.1,3.9,3,6,0
"CZA0330",37,"Premium",36,42.7,23.1,1,6,0
"CZA0331",47,"Standard",2,16,12,9,5,1
"CZA0332",33,"Standard",6,25.2,8.4,1,5,0
"CZA0333",29,"Standard",4,14.1,9.1,4,6,0
"CZA0334",40,"Standard",12,3.2,13,0,6,0
"CZA0335",50,"Standard",36,1.9,11.2,1,6,0
"CZA0336",37,"Standard",2,2.2,15.6,3,6,0
"CZA0337",21,"Standard",12,7.5,8.5,1,6,0
"CZA0338",22,"Standard",12,32.5,9.3,3,4,0
"CZA0339",29,"Basic",12,8.1,4,3,6,1
"CZA0340",32,"Standard",6,8.4,9.3,0,7,0
"CZA0341",38,"Basic",36,0.3,8.4,0,6,0
"CZA0342",46,"Premium",12,60.8,16.8,5,5,0
"CZA0343",33,"Basic",12,3.3,1.7,1,7,0
"CZA0344",25,"Standard",36,2.3,6.6,4,6,0
"CZA0345",45,"Basic",18,1.8,8.2,2,7,0
"CZA0346",41,"Basic",2,0.2,3.4,2,6,1
"CZA0347",52,"Standard",5,3.3,7.1,1,6,0
"CZA0348",18,"Premium",36,5.4,20.6,6,5,1
"CZA0349",39,"Basic",18,5.7,4,3,7,0
"CZA0350",54,"Standard",36,6.5,14.6,0,8,0
"CZA0351",47,"Basic",18,0.1,4.6,2,5,0
"CZA0352",28,"Basic",12,0.9,7.4,2,6,0
"CZA0353",47,"Basic",12,0.4,4.7,0,6,0
"CZA0354",28,"Standard",12,6.6,6.3,1,7,0
"CZA0355",33,"Premium",36,6.6,20.2,1,5,0
"CZA0356",52,"Premium",18,21.4,8.1,4,5,0
"CZA0357",35,"Standard",18,10.5,9,1,5,0
"CZA0358",48,"Basic",12,0.1,1,0,7,0
"CZA0359",35,"Premium",36,5.9,21.4,1,10,0
"CZA0360",19,"Basic",24,0.9,8.3,1,8,0
"CZA0361",28,"Basic",36,3.1,4.9,2,7,0
"CZA0362",25,"Basic",18,0.5,5.9,0,5,0
"CZA0363",32,"Standard",18,1.3,10.2,2,5,0
"CZA0364",34,"Standard",12,14,14.4,3,8,1
"CZA0365",36,"Standard",18,0,5.4,2,7,0
"CZA0366",35,"Standard",6,22.5,2.6,3,7,0
"CZA0367",61,"Standard",3,5.5,11.3,1,5,0
"CZA0368",21,"Standard",5,14.6,12.7,2,7,0
"CZA0369",33,"Standard",6,9.7,6.2,3,7,1
"CZA0370",42,"Premium",12,98.1,18.5,1,7,0
"CZA0371",58,"Standard",24,9.9,10.1,1,6,0
"CZA0372",39,"Standard",18,1.2,6.8,0,6,0
"CZA0373",53,"Standard",18,1.1,9.5,1,7,0
"CZA0374",18,"Standard",3,5.1,7.7,3,7,0
"CZA0375",55,"Standard",6,34,9.3,1,7,0
"CZA0376",30,"Standard",18,15.6,10.3,0,5,0
"CZA0377",35,"Standard",24,14.7,8.2,4,7,0
"CZA0378",25,"Basic",18,1.7,5.7,5,6,0
"CZA0379",40,"Standard",24,6.8,12.1,1,6,0
"CZA0380",59,"Standard",24,7.4,11.6,0,7,0
"CZA0381",67,"Basic",6,2.4,5.5,5,7,0
"CZA0382",25,"Basic",36,0.8,7.7,1,7,0
"CZA0383",44,"Basic",4,6.1,2.1,0,6,0
"CZA0384",55,"Basic",12,0.2,5.8,1,5,0
"CZA0385",36,"Basic",2,4.4,8,4,6,0
"CZA0386",35,"Premium",18,31.2,17.7,2,6,0
"CZA0387",34,"Basic",24,2,4.1,3,6,0
"CZA0388",45,"Standard",3,5.2,9.3,3,6,0
"CZA0389",55,"Basic",36,7.6,3,2,5,0
"CZA0390",46,"Basic",1,0.5,2,7,5,1
"CZA0391",42,"Premium",18,34.5,12.3,2,6,0
"CZA0392",34,"Standard",36,1.6,15.2,1,8,0
"CZA0393",44,"Standard",5,5.5,14.4,0,6,0
"CZA0394",31,"Basic",12,8,5.3,1,7,0
"CZA0395",35,"Standard",24,14.8,2.4,2,6,0
"CZA0396",51,"Basic",12,1.2,2.3,3,6,0
"CZA0397",43,"Basic",36,1.3,1.2,3,10,0
"CZA0398",41,"Premium",5,24.2,7.2,7,6,1
"CZA0399",35,"Basic",18,2.7,5,3,6,0
"CZA0400",49,"Basic",12,10.9,2.6,3,7,0
"CZA0401",54,"Standard",24,3.5,2.9,1,5,0
"CZA0402",28,"Standard",36,4,10.7,2,7,0
"CZA0403",39,"Basic",18,3.2,6,2,5,0
"CZA0404",39,"Basic",18,1.3,3.2,2,6,1
"CZA0405",31,"Basic",12,3.3,8.7,1,6,0
"CZA0406",26,"Premium",4,38.3,17.5,3,7,1
"CZA0407",38,"Basic",24,1.4,4.2,1,6,0
"CZA0408",46,"Standard",36,44.2,9.4,0,7,0
"CZA0409",56,"Basic",5,5.4,4.3,2,5,1
"CZA0410",18,"Basic",18,1.7,5,2,8,0
"CZA0411",30,"Basic",36,3,1.4,1,8,0
"CZA0412",34,"Basic",36,6.4,5.1,1,8,0
"CZA0413",18,"Standard",24,1.2,10.3,2,4,0
"CZA0414",29,"Basic",18,8.8,8.5,2,8,0
"CZA0415",29,"Premium",24,5,13.1,3,6,0
"CZA0416",29,"Basic",18,1.1,5.9,4,7,1
"CZA0417",18,"Basic",18,3.4,5,2,7,0
"CZA0418",41,"Basic",24,0.7,4.3,1,7,0
"CZA0419",30,"Standard",18,0.8,11.4,1,6,0
"CZA0420",56,"Standard",24,13.2,14.9,2,8,0
"CZA0421",48,"Standard",18,1,6,2,6,0
"CZA0422",21,"Basic",18,0.7,6.5,1,9,0
"CZA0423",39,"Basic",12,1.1,4.2,1,6,0
"CZA0424",31,"Basic",12,9.3,2.4,4,5,1
"CZA0425",49,"Basic",6,10.3,4.2,5,5,1
"CZA0426",39,"Standard",12,22.7,8.2,4,6,0
"CZA0427",31,"Premium",18,58.5,14.2,2,5,0
"CZA0428",43,"Premium",36,79.8,20.6,3,6,0
"CZA0429",40,"Basic",4,10.8,6.5,2,6,1
"CZA0430",36,"Standard",36,4.2,9.6,3,5,0
"CZA0431",62,"Standard",1,23.5,12.4,4,7,0
"CZA0432",32,"Premium",18,35.1,27.4,2,6,0
"CZA0433",32,"Premium",5,10.1,20.2,3,5,0
"CZA0434",19,"Basic",12,10.2,6,2,8,0
"CZA0435",38,"Standard",12,8.4,11.1,2,7,1
"CZA0436",49,"Standard",24,9.2,9.8,2,8,0
"CZA0437",18,"Basic",12,1.6,5.3,3,7,0
"CZA0438",35,"Premium",36,185.8,16,2,7,0
"CZA0439",24,"Basic",5,8.4,2.4,2,6,1
"CZA0440",55,"Basic",18,0.1,2.6,1,6,0
"CZA0441",54,"Basic",18,10.7,1.5,1,8,0
"CZA0442",42,"Premium",12,59.6,13.9,2,6,0
"CZA0443",55,"Basic",4,2.2,5.7,3,6,0
"CZA0444",28,"Standard",36,17.9,9.7,2,6,0
"CZA0445",49,"Standard",3,17.1,10.2,4,5,0
"CZA0446",31,"Standard",36,34.3,9.8,1,7,0
"CZA0447",42,"Premium",1,3.6,11.5,9,6,1
"CZA0448",34,"Standard",18,2.9,12.9,0,7,0
"CZA0449",35,"Standard",18,8.6,12.1,2,8,0
"CZA0450",45,"Standard",2,2.9,9.3,5,5,0
"CZA0451",22,"Standard",18,2.8,9.5,2,5,0
"CZA0452",35,"Basic",36,3.5,6.6,2,7,0
"CZA0453",40,"Basic",12,0.3,6.5,1,6,0
"CZA0454",33,"Standard",4,5.7,1,1,6,0
"CZA0455",39,"Basic",5,2.3,7.6,4,7,0
"CZA0456",34,"Standard",36,27.6,10.9,1,6,0
"CZA0457",57,"Basic",24,0.3,3.7,1,7,0
"CZA0458",47,"Basic",18,10.3,3.4,2,5,0
"CZA0459",74,"Basic",18,0.2,6,7,7,0
"CZA0460",28,"Basic",5,27.1,8.8,5,6,0
"CZA0461",48,"Standard",18,7,13.1,0,6,0
"CZA0462",63,"Basic",24,4,4.1,3,6,0
"CZA0463",42,"Basic",18,0.6,3.5,1,6,0
"CZA0464",25,"Basic",12,4.6,3,1,7,0
"CZA0465",26,"Basic",18,2.8,6.7,2,7,0
"CZA0466",38,"Standard",12,34.8,8.3,6,5,1
"CZA0467",54,"Premium",12,59.5,19.9,2,7,0
"CZA0468",47,"Standard",24,15.6,10.8,3,8,0
